t_gene	t_transcript	q_gene	q_transcript	orthology_class
ENSMUSG00000020831	ENSMUST00000100950.0610010K14Rik	reg_7269	ENSMUST00000100950.0610010K14Rik.9298	one2one
ENSMUSG00000020831	ENSMUST00000108578.0610010K14Rik	reg_7269	ENSMUST00000108578.0610010K14Rik.9298	one2one
ENSMUSG00000020831	ENSMUST00000102569.0610010K14Rik	reg_7269	ENSMUST00000102569.0610010K14Rik.9298	one2one
ENSMUSG00000020831	ENSMUST00000021181.0610010K14Rik	reg_7269	ENSMUST00000021181.0610010K14Rik.9298	one2one
ENSMUSG00000025607	ENSMUST00000048774.Copg2	reg_5492	ENSMUST00000048774.Copg2.126	one2one
ENSMUSG00000042894	ENSMUST00000111512.Olfr1260	reg_5133	ENSMUST00000111512.Olfr1260.13479	many2many
ENSMUSG00000042894	ENSMUST00000111512.Olfr1260	reg_3749	ENSMUST00000111512.Olfr1260.44010	many2many
ENSMUSG00000042894	ENSMUST00000111512.Olfr1260	reg_2599	ENSMUST00000111512.Olfr1260.32312	many2many
ENSMUSG00000042894	ENSMUST00000111512.Olfr1260	reg_1166	ENSMUST00000111512.Olfr1260.39249	many2many
ENSMUSG00000042894	ENSMUST00000061830.Olfr1260	reg_5133	ENSMUST00000061830.Olfr1260.13479	many2many
ENSMUSG00000110947	ENSMUST00000214477.Olfr1333	reg_6401	ENSMUST00000214477.Olfr1333.35378	many2many
ENSMUSG00000110947	ENSMUST00000214477.Olfr1333	reg_5922	ENSMUST00000214477.Olfr1333.23650	many2many
ENSMUSG00000045514	ENSMUST00000216942.Olfr460	reg_3943	ENSMUST00000216942.Olfr460.18558	many2many
ENSMUSG00000045514	ENSMUST00000216942.Olfr460	reg_3942	ENSMUST00000216942.Olfr460.30252	many2many
ENSMUSG00000045514	ENSMUST00000051540.Olfr460	reg_3943	ENSMUST00000051540.Olfr460.18558	many2many
ENSMUSG00000045514	ENSMUST00000051540.Olfr460	reg_3942	ENSMUST00000051540.Olfr460.30252	many2many
ENSMUSG00000094846	ENSMUST00000217061.Olfr1487	reg_7156	ENSMUST00000217061.Olfr1487.28383	many2many
ENSMUSG00000094846	ENSMUST00000209005.Olfr1487	reg_7156	ENSMUST00000209005.Olfr1487.28383	many2many
ENSMUSG00000066897	ENSMUST00000086474.Olfr872	reg_5037	ENSMUST00000086474.Olfr872.32346	many2many
ENSMUSG00000066897	ENSMUST00000086474.Olfr872	reg_5836	ENSMUST00000086474.Olfr872.36942	many2many
ENSMUSG00000091983	ENSMUST00000170504.Olfr457	reg_3632	ENSMUST00000170504.Olfr457.116617	many2many
ENSMUSG00000091983	ENSMUST00000204324.Olfr457	reg_1690	ENSMUST00000204324.Olfr457.32080	many2many
ENSMUSG00000091983	ENSMUST00000204324.Olfr457	reg_3632	ENSMUST00000204324.Olfr457.116617	many2many
ENSMUSG00000091983	ENSMUST00000204324.Olfr457	reg_4456	ENSMUST00000204324.Olfr457.34374	many2many
ENSMUSG00000091983	ENSMUST00000204324.Olfr457	reg_311	ENSMUST00000204324.Olfr457.82750	many2many
ENSMUSG00000091983	ENSMUST00000203396.Olfr457	reg_4456	ENSMUST00000203396.Olfr457.34374	many2many
ENSMUSG00000091983	ENSMUST00000203396.Olfr457	reg_311	ENSMUST00000203396.Olfr457.82750	many2many
ENSMUSG00000091983	ENSMUST00000203396.Olfr457	reg_1690	ENSMUST00000203396.Olfr457.32080	many2many
ENSMUSG00000091983	ENSMUST00000203396.Olfr457	reg_3632	ENSMUST00000203396.Olfr457.116617	many2many
ENSMUSG00000059379	ENSMUST00000076250.Olfr1014	reg_13499	ENSMUST00000076250.Olfr1014.105566	many2many
ENSMUSG00000059379	ENSMUST00000213453.Olfr1014	reg_13499	ENSMUST00000213453.Olfr1014.105566	many2many
ENSMUSG00000059379	ENSMUST00000213453.Olfr1014	reg_52	ENSMUST00000213453.Olfr1014.31780	many2many
ENSMUSG00000060827	ENSMUST00000216767.Olfr1193	reg_6884	ENSMUST00000216767.Olfr1193.25553	many2many
ENSMUSG00000060827	ENSMUST00000216767.Olfr1193	reg_3344	ENSMUST00000216767.Olfr1193.437262	many2many
ENSMUSG00000060827	ENSMUST00000216767.Olfr1193	reg_2600	ENSMUST00000216767.Olfr1193.26087	many2many
ENSMUSG00000060827	ENSMUST00000213893.Olfr1193	reg_3344	ENSMUST00000213893.Olfr1193.437262	many2many
ENSMUSG00000060827	ENSMUST00000213893.Olfr1193	reg_2600	ENSMUST00000213893.Olfr1193.26087	many2many
ENSMUSG00000060827	ENSMUST00000213893.Olfr1193	reg_6884	ENSMUST00000213893.Olfr1193.25553	many2many
ENSMUSG00000060827	ENSMUST00000081697.Olfr1193	reg_6884	ENSMUST00000081697.Olfr1193.25553	many2many
ENSMUSG00000060827	ENSMUST00000081697.Olfr1193	reg_3344	ENSMUST00000081697.Olfr1193.437262	many2many
ENSMUSG00000075068	ENSMUST00000111506.Olfr140	reg_265	ENSMUST00000111506.Olfr140.18955	many2many
ENSMUSG00000075068	ENSMUST00000111506.Olfr140	reg_1801	ENSMUST00000111506.Olfr140.30774	many2many
ENSMUSG00000075068	ENSMUST00000111506.Olfr140	reg_2311	ENSMUST00000111506.Olfr140.21946	many2many
ENSMUSG00000075068	ENSMUST00000111506.Olfr140	reg_46	ENSMUST00000111506.Olfr140.19103	many2many
ENSMUSG00000075068	ENSMUST00000216475.Olfr140	reg_1801	ENSMUST00000216475.Olfr140.30774	many2many
ENSMUSG00000075068	ENSMUST00000216475.Olfr140	reg_2311	ENSMUST00000216475.Olfr140.21946	many2many
ENSMUSG00000075068	ENSMUST00000216475.Olfr140	reg_265	ENSMUST00000216475.Olfr140.18955	many2many
ENSMUSG00000075068	ENSMUST00000216475.Olfr140	reg_46	ENSMUST00000216475.Olfr140.19103	many2many
ENSMUSG00000095910	ENSMUST00000213252.Olfr469	reg_7379	ENSMUST00000213252.Olfr469.24725	many2many
ENSMUSG00000095910	ENSMUST00000213252.Olfr469	reg_2442	ENSMUST00000213252.Olfr469.20275	many2many
ENSMUSG00000095910	ENSMUST00000075704.Olfr469	reg_2442	ENSMUST00000075704.Olfr469.20275	many2many
ENSMUSG00000063216	ENSMUST00000216030.Olfr1351	reg_5505	ENSMUST00000216030.Olfr1351.40649	many2many
ENSMUSG00000063216	ENSMUST00000216030.Olfr1351	reg_7167	ENSMUST00000216030.Olfr1351.42679	many2many
ENSMUSG00000063216	ENSMUST00000216030.Olfr1351	reg_52	ENSMUST00000216030.Olfr1351.41800	many2many
ENSMUSG00000063216	ENSMUST00000216030.Olfr1351	reg_2214	ENSMUST00000216030.Olfr1351.23580	many2many
ENSMUSG00000059023	ENSMUST00000216213.Olfr1201	reg_27	ENSMUST00000216213.Olfr1201.25543	many2many
ENSMUSG00000059023	ENSMUST00000216213.Olfr1201	reg_6878	ENSMUST00000216213.Olfr1201.80317	many2many
ENSMUSG00000059023	ENSMUST00000216213.Olfr1201	reg_5133	ENSMUST00000216213.Olfr1201.79426	many2many
ENSMUSG00000059023	ENSMUST00000073458.Olfr1201	reg_5133	ENSMUST00000073458.Olfr1201.79426	many2many
ENSMUSG00000059023	ENSMUST00000073458.Olfr1201	reg_6878	ENSMUST00000073458.Olfr1201.80317	many2many
ENSMUSG00000059023	ENSMUST00000073458.Olfr1201	reg_27	ENSMUST00000073458.Olfr1201.25543	many2many
ENSMUSG00000049015	ENSMUST00000215096.Olfr1467	reg_7155	ENSMUST00000215096.Olfr1467.24839	many2many
ENSMUSG00000049015	ENSMUST00000215096.Olfr1467	reg_2659	ENSMUST00000215096.Olfr1467.16153	many2many
ENSMUSG00000075111	ENSMUST00000168169.Olfr1213	reg_1316	ENSMUST00000168169.Olfr1213.26482	many2many
ENSMUSG00000075111	ENSMUST00000168169.Olfr1213	reg_1801	ENSMUST00000168169.Olfr1213.25248	many2many
ENSMUSG00000075111	ENSMUST00000168169.Olfr1213	reg_2049	ENSMUST00000168169.Olfr1213.65914	many2many
ENSMUSG00000075111	ENSMUST00000144908.Olfr1213	reg_2049	ENSMUST00000144908.Olfr1213.65914	many2many
ENSMUSG00000075111	ENSMUST00000144908.Olfr1213	reg_1316	ENSMUST00000144908.Olfr1213.26482	many2many
ENSMUSG00000075111	ENSMUST00000144908.Olfr1213	reg_1801	ENSMUST00000144908.Olfr1213.25248	many2many
ENSMUSG00000094493	ENSMUST00000214840.Olfr700	reg_790	ENSMUST00000214840.Olfr700.51737	many2many
ENSMUSG00000094493	ENSMUST00000214840.Olfr700	reg_2214	ENSMUST00000214840.Olfr700.21051	many2many
ENSMUSG00000070377	ENSMUST00000215550.Olfr43	reg_1801	ENSMUST00000215550.Olfr43.33113	many2many
ENSMUSG00000070377	ENSMUST00000215550.Olfr43	reg_1280	ENSMUST00000215550.Olfr43.48411	many2many
ENSMUSG00000070377	ENSMUST00000215550.Olfr43	reg_1473	ENSMUST00000215550.Olfr43.53349	many2many
ENSMUSG00000070377	ENSMUST00000215550.Olfr43	reg_13648	ENSMUST00000215550.Olfr43.33071	many2many
ENSMUSG00000070377	ENSMUST00000215550.Olfr43	reg_10771	ENSMUST00000215550.Olfr43.25633	many2many
ENSMUSG00000070377	ENSMUST00000215550.Olfr43	reg_1316	ENSMUST00000215550.Olfr43.29921	many2many
ENSMUSG00000070377	ENSMUST00000205664.Olfr43	reg_10771	ENSMUST00000205664.Olfr43.25633	many2many
ENSMUSG00000070377	ENSMUST00000205664.Olfr43	reg_1280	ENSMUST00000205664.Olfr43.48411	many2many
ENSMUSG00000070377	ENSMUST00000205664.Olfr43	reg_13648	ENSMUST00000205664.Olfr43.33071	many2many
ENSMUSG00000070377	ENSMUST00000205664.Olfr43	reg_1801	ENSMUST00000205664.Olfr43.33113	many2many
ENSMUSG00000070377	ENSMUST00000205664.Olfr43	reg_1316	ENSMUST00000205664.Olfr43.29921	many2many
ENSMUSG00000070377	ENSMUST00000205664.Olfr43	reg_1473	ENSMUST00000205664.Olfr43.53349	many2many
ENSMUSG00000075175	ENSMUST00000213198.Olfr1086	reg_411	ENSMUST00000213198.Olfr1086.66238	many2many
ENSMUSG00000075175	ENSMUST00000213198.Olfr1086	reg_5873	ENSMUST00000213198.Olfr1086.95289	many2many
ENSMUSG00000075175	ENSMUST00000213198.Olfr1086	reg_410	ENSMUST00000213198.Olfr1086.428867	many2many
ENSMUSG00000075175	ENSMUST00000099878.Olfr1086	reg_411	ENSMUST00000099878.Olfr1086.66238	many2many
ENSMUSG00000075175	ENSMUST00000099878.Olfr1086	reg_5873	ENSMUST00000099878.Olfr1086.95289	many2many
ENSMUSG00000075175	ENSMUST00000099878.Olfr1086	reg_410	ENSMUST00000099878.Olfr1086.428867	many2many
ENSMUSG00000062892	ENSMUST00000213925.Olfr1450	reg_2217	ENSMUST00000213925.Olfr1450.21310	many2many
ENSMUSG00000062892	ENSMUST00000213925.Olfr1450	reg_410	ENSMUST00000213925.Olfr1450.20641	many2many
ENSMUSG00000062892	ENSMUST00000213925.Olfr1450	reg_51	ENSMUST00000213925.Olfr1450.22218	many2many
ENSMUSG00000062892	ENSMUST00000213925.Olfr1450	reg_5986	ENSMUST00000213925.Olfr1450.4473	many2many
ENSMUSG00000062892	ENSMUST00000213587.Olfr1450	reg_410	ENSMUST00000213587.Olfr1450.20641	many2many
ENSMUSG00000062892	ENSMUST00000213587.Olfr1450	reg_51	ENSMUST00000213587.Olfr1450.22218	many2many
ENSMUSG00000062892	ENSMUST00000213587.Olfr1450	reg_5986	ENSMUST00000213587.Olfr1450.4473	many2many
ENSMUSG00000062892	ENSMUST00000213587.Olfr1450	reg_2217	ENSMUST00000213587.Olfr1450.21310	many2many
ENSMUSG00000062892	ENSMUST00000082006.Olfr1450	reg_5986	ENSMUST00000082006.Olfr1450.4473	many2many
ENSMUSG00000063844	ENSMUST00000218065.Olfr1276	reg_9240	ENSMUST00000218065.Olfr1276.146723	many2many
ENSMUSG00000075097	ENSMUST00000215562.Olfr1226	reg_2049	ENSMUST00000215562.Olfr1226.36500	many2many
ENSMUSG00000075097	ENSMUST00000215987.Olfr1226	reg_2049	ENSMUST00000215987.Olfr1226.36500	many2many
ENSMUSG00000075097	ENSMUST00000214709.Olfr1226	reg_2049	ENSMUST00000214709.Olfr1226.36500	many2many
ENSMUSG00000075097	ENSMUST00000217601.Olfr1226	reg_2049	ENSMUST00000217601.Olfr1226.36500	many2many
ENSMUSG00000075097	ENSMUST00000220416.Olfr1226	reg_2049	ENSMUST00000220416.Olfr1226.36500	many2many
ENSMUSG00000075097	ENSMUST00000099790.Olfr1226	reg_2049	ENSMUST00000099790.Olfr1226.36500	many2many
ENSMUSG00000075097	ENSMUST00000216445.Olfr1226	reg_2049	ENSMUST00000216445.Olfr1226.36500	many2many
ENSMUSG00000052625	ENSMUST00000214130.Olfr851	reg_5836	ENSMUST00000214130.Olfr851.23024	many2many
ENSMUSG00000075208	ENSMUST00000213515.Olfr1019	reg_1473	ENSMUST00000213515.Olfr1019.28959	many2many
ENSMUSG00000075208	ENSMUST00000213515.Olfr1019	reg_8392	ENSMUST00000213515.Olfr1019.33223	many2many
ENSMUSG00000075208	ENSMUST00000213515.Olfr1019	reg_2442	ENSMUST00000213515.Olfr1019.5443	many2many
ENSMUSG00000075208	ENSMUST00000213515.Olfr1019	reg_7379	ENSMUST00000213515.Olfr1019.27492	many2many
ENSMUSG00000075208	ENSMUST00000213515.Olfr1019	reg_5312	ENSMUST00000213515.Olfr1019.33782	many2many
ENSMUSG00000075208	ENSMUST00000102634.Olfr1019	reg_2442	ENSMUST00000102634.Olfr1019.5443	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_790	ENSMUST00000216496.Olfr911-ps1.115557	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_410	ENSMUST00000216496.Olfr911-ps1.43569	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_1572	ENSMUST00000216496.Olfr911-ps1.70947	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_602	ENSMUST00000216496.Olfr911-ps1.23485	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_412	ENSMUST00000216496.Olfr911-ps1.69309	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_5873	ENSMUST00000216496.Olfr911-ps1.44611	many2many
ENSMUSG00000059473	ENSMUST00000215523.Olfr979	reg_4984	ENSMUST00000215523.Olfr979.130414	many2many
ENSMUSG00000059473	ENSMUST00000080835.Olfr979	reg_4984	ENSMUST00000080835.Olfr979.130414	many2many
ENSMUSG00000057424	ENSMUST00000216823.Olfr934	reg_4994	ENSMUST00000216823.Olfr934.84971	many2many
ENSMUSG00000057424	ENSMUST00000216823.Olfr934	reg_2442	ENSMUST00000216823.Olfr934.299452	many2many
ENSMUSG00000057424	ENSMUST00000216823.Olfr934	reg_2285	ENSMUST00000216823.Olfr934.156259	many2many
ENSMUSG00000057424	ENSMUST00000216823.Olfr934	reg_4985	ENSMUST00000216823.Olfr934.22841	many2many
ENSMUSG00000057424	ENSMUST00000214324.Olfr934	reg_4985	ENSMUST00000214324.Olfr934.22841	many2many
ENSMUSG00000057424	ENSMUST00000214324.Olfr934	reg_4994	ENSMUST00000214324.Olfr934.84971	many2many
ENSMUSG00000057424	ENSMUST00000214324.Olfr934	reg_2285	ENSMUST00000214324.Olfr934.156259	many2many
ENSMUSG00000057424	ENSMUST00000214324.Olfr934	reg_2442	ENSMUST00000214324.Olfr934.299452	many2many
ENSMUSG00000057424	ENSMUST00000074211.Olfr934	reg_2285	ENSMUST00000074211.Olfr934.156259	many2many
ENSMUSG00000057424	ENSMUST00000074211.Olfr934	reg_4994	ENSMUST00000074211.Olfr934.84971	many2many
ENSMUSG00000057424	ENSMUST00000074211.Olfr934	reg_2442	ENSMUST00000074211.Olfr934.299452	many2many
ENSMUSG00000047039	ENSMUST00000061081.Olfr1151	reg_1223	ENSMUST00000061081.Olfr1151.381896	many2many
ENSMUSG00000047039	ENSMUST00000217376.Olfr1151	reg_410	ENSMUST00000217376.Olfr1151.61268	many2many
ENSMUSG00000047039	ENSMUST00000217376.Olfr1151	reg_1223	ENSMUST00000217376.Olfr1151.381896	many2many
ENSMUSG00000047039	ENSMUST00000217376.Olfr1151	reg_313	ENSMUST00000217376.Olfr1151.18327	many2many
ENSMUSG00000047039	ENSMUST00000217376.Olfr1151	reg_312	ENSMUST00000217376.Olfr1151.10962	many2many
ENSMUSG00000047039	ENSMUST00000217376.Olfr1151	reg_7325	ENSMUST00000217376.Olfr1151.31657	many2many
ENSMUSG00000046300	ENSMUST00000062964.Olfr1412	reg_790	ENSMUST00000062964.Olfr1412.22424	many2many
ENSMUSG00000046300	ENSMUST00000190505.Olfr1412	reg_790	ENSMUST00000190505.Olfr1412.22424	many2many
ENSMUSG00000046300	ENSMUST00000190505.Olfr1412	reg_311	ENSMUST00000190505.Olfr1412.45703	many2many
ENSMUSG00000073111	ENSMUST00000215686.Olfr446	reg_410	ENSMUST00000215686.Olfr446.31918	many2many
ENSMUSG00000073111	ENSMUST00000215686.Olfr446	reg_4158	ENSMUST00000215686.Olfr446.6100	many2many
ENSMUSG00000073111	ENSMUST00000101461.Olfr446	reg_4158	ENSMUST00000101461.Olfr446.6100	many2many
ENSMUSG00000073111	ENSMUST00000215369.Olfr446	reg_4158	ENSMUST00000215369.Olfr446.6100	many2many
ENSMUSG00000073111	ENSMUST00000215369.Olfr446	reg_410	ENSMUST00000215369.Olfr446.31918	many2many
ENSMUSG00000073111	ENSMUST00000216199.Olfr446	reg_410	ENSMUST00000216199.Olfr446.31918	many2many
ENSMUSG00000073111	ENSMUST00000216199.Olfr446	reg_4158	ENSMUST00000216199.Olfr446.6100	many2many
ENSMUSG00000044487	ENSMUST00000053050.Olfr1112	reg_2071	ENSMUST00000053050.Olfr1112.7763	many2many
ENSMUSG00000044487	ENSMUST00000216772.Olfr1112	reg_2071	ENSMUST00000216772.Olfr1112.7763	many2many
ENSMUSG00000109354	ENSMUST00000209025.Olfr706	reg_1580	ENSMUST00000209025.Olfr706.147409	many2many
ENSMUSG00000109354	ENSMUST00000213918.Olfr706	reg_2216	ENSMUST00000213918.Olfr706.21051	many2many
ENSMUSG00000109354	ENSMUST00000213918.Olfr706	reg_1580	ENSMUST00000213918.Olfr706.147409	many2many
ENSMUSG00000055088	ENSMUST00000217479.Olfr354	reg_7379	ENSMUST00000217479.Olfr354.35401	many2many
ENSMUSG00000055088	ENSMUST00000217479.Olfr354	reg_4800	ENSMUST00000217479.Olfr354.20760	many2many
ENSMUSG00000055088	ENSMUST00000217479.Olfr354	reg_5312	ENSMUST00000217479.Olfr354.31505	many2many
ENSMUSG00000061039	ENSMUST00000074740.Olfr920	reg_5428	ENSMUST00000074740.Olfr920.43887	many2many
ENSMUSG00000061039	ENSMUST00000074740.Olfr920	reg_4821	ENSMUST00000074740.Olfr920.17114	many2many
ENSMUSG00000075204	ENSMUST00000099910.Olfr1039	reg_3423	ENSMUST00000099910.Olfr1039.28706	many2many
ENSMUSG00000075204	ENSMUST00000216566.Olfr1039	reg_3423	ENSMUST00000216566.Olfr1039.28706	many2many
ENSMUSG00000075204	ENSMUST00000216566.Olfr1039	reg_2287	ENSMUST00000216566.Olfr1039.10916	many2many
ENSMUSG00000075204	ENSMUST00000214364.Olfr1039	reg_2287	ENSMUST00000214364.Olfr1039.10916	many2many
ENSMUSG00000075204	ENSMUST00000214364.Olfr1039	reg_3423	ENSMUST00000214364.Olfr1039.28706	many2many
ENSMUSG00000039962	ENSMUST00000045493.Olfr906	reg_2710	ENSMUST00000045493.Olfr906.24806	many2many
ENSMUSG00000039962	ENSMUST00000214344.Olfr906	reg_1574	ENSMUST00000214344.Olfr906.34372	many2many
ENSMUSG00000039962	ENSMUST00000214344.Olfr906	reg_2710	ENSMUST00000214344.Olfr906.24806	many2many
ENSMUSG00000039962	ENSMUST00000214344.Olfr906	reg_53	ENSMUST00000214344.Olfr906.20182	many2many
ENSMUSG00000039962	ENSMUST00000214344.Olfr906	reg_5428	ENSMUST00000214344.Olfr906.20084	many2many
ENSMUSG00000075427	ENSMUST00000165379.Olfr288	reg_6309	ENSMUST00000165379.Olfr288.-1	many2many
ENSMUSG00000048226	ENSMUST00000055895.Olfr1212	reg_2442	ENSMUST00000055895.Olfr1212.110012	many2many
ENSMUSG00000048226	ENSMUST00000215781.Olfr1212	reg_4800	ENSMUST00000215781.Olfr1212.20781	many2many
ENSMUSG00000048226	ENSMUST00000215781.Olfr1212	reg_2442	ENSMUST00000215781.Olfr1212.110012	many2many
ENSMUSG00000042863	ENSMUST00000217615.Olfr1026	reg_2443	ENSMUST00000217615.Olfr1026.21307	many2many
ENSMUSG00000042863	ENSMUST00000217615.Olfr1026	reg_5987	ENSMUST00000217615.Olfr1026.40186	many2many
ENSMUSG00000042863	ENSMUST00000217615.Olfr1026	reg_606	ENSMUST00000217615.Olfr1026.5443	many2many
ENSMUSG00000042863	ENSMUST00000217615.Olfr1026	reg_1279	ENSMUST00000217615.Olfr1026.138052	many2many
ENSMUSG00000042863	ENSMUST00000217615.Olfr1026	reg_5873	ENSMUST00000217615.Olfr1026.32103	many2many
ENSMUSG00000042863	ENSMUST00000219615.Olfr1026	reg_1279	ENSMUST00000219615.Olfr1026.138052	many2many
ENSMUSG00000042863	ENSMUST00000219615.Olfr1026	reg_5873	ENSMUST00000219615.Olfr1026.32103	many2many
ENSMUSG00000042863	ENSMUST00000219615.Olfr1026	reg_5987	ENSMUST00000219615.Olfr1026.40186	many2many
ENSMUSG00000042863	ENSMUST00000219615.Olfr1026	reg_606	ENSMUST00000219615.Olfr1026.5443	many2many
ENSMUSG00000042863	ENSMUST00000219615.Olfr1026	reg_2443	ENSMUST00000219615.Olfr1026.21307	many2many
ENSMUSG00000042863	ENSMUST00000056718.Olfr1026	reg_606	ENSMUST00000056718.Olfr1026.5443	many2many
ENSMUSG00000042863	ENSMUST00000056718.Olfr1026	reg_2443	ENSMUST00000056718.Olfr1026.21307	many2many
ENSMUSG00000075066	ENSMUST00000215659.Olfr32	reg_263	ENSMUST00000215659.Olfr32.13619	many2many
ENSMUSG00000075066	ENSMUST00000215659.Olfr32	reg_4160	ENSMUST00000215659.Olfr32.37331	many2many
ENSMUSG00000075066	ENSMUST00000215659.Olfr32	reg_25	ENSMUST00000215659.Olfr32.144750	many2many
ENSMUSG00000075066	ENSMUST00000215659.Olfr32	reg_8751	ENSMUST00000215659.Olfr32.25420	many2many
ENSMUSG00000075066	ENSMUST00000215659.Olfr32	reg_1889	ENSMUST00000215659.Olfr32.28716	many2many
ENSMUSG00000075066	ENSMUST00000215659.Olfr32	reg_604	ENSMUST00000215659.Olfr32.22247	many2many
ENSMUSG00000075066	ENSMUST00000215765.Olfr32	reg_8751	ENSMUST00000215765.Olfr32.25420	many2many
ENSMUSG00000075066	ENSMUST00000215765.Olfr32	reg_1889	ENSMUST00000215765.Olfr32.28716	many2many
ENSMUSG00000075066	ENSMUST00000215765.Olfr32	reg_25	ENSMUST00000215765.Olfr32.144750	many2many
ENSMUSG00000075066	ENSMUST00000215765.Olfr32	reg_604	ENSMUST00000215765.Olfr32.22247	many2many
ENSMUSG00000075066	ENSMUST00000215765.Olfr32	reg_263	ENSMUST00000215765.Olfr32.13619	many2many
ENSMUSG00000075066	ENSMUST00000215765.Olfr32	reg_4160	ENSMUST00000215765.Olfr32.37331	many2many
ENSMUSG00000075066	ENSMUST00000215153.Olfr32	reg_8751	ENSMUST00000215153.Olfr32.25420	many2many
ENSMUSG00000075066	ENSMUST00000215153.Olfr32	reg_25	ENSMUST00000215153.Olfr32.144750	many2many
ENSMUSG00000075066	ENSMUST00000215153.Olfr32	reg_1889	ENSMUST00000215153.Olfr32.28716	many2many
ENSMUSG00000075066	ENSMUST00000215153.Olfr32	reg_604	ENSMUST00000215153.Olfr32.22247	many2many
ENSMUSG00000075066	ENSMUST00000215153.Olfr32	reg_4160	ENSMUST00000215153.Olfr32.37331	many2many
ENSMUSG00000075066	ENSMUST00000215153.Olfr32	reg_263	ENSMUST00000215153.Olfr32.13619	many2many
ENSMUSG00000075066	ENSMUST00000099755.Olfr32	reg_8751	ENSMUST00000099755.Olfr32.25420	many2many
ENSMUSG00000075066	ENSMUST00000099755.Olfr32	reg_263	ENSMUST00000099755.Olfr32.13619	many2many
ENSMUSG00000075066	ENSMUST00000099755.Olfr32	reg_25	ENSMUST00000099755.Olfr32.144750	many2many
ENSMUSG00000058513	ENSMUST00000213294.Olfr801	reg_4712	ENSMUST00000213294.Olfr801.30895	many2many
ENSMUSG00000058513	ENSMUST00000213294.Olfr801	reg_5312	ENSMUST00000213294.Olfr801.44311	many2many
ENSMUSG00000058513	ENSMUST00000213294.Olfr801	reg_12592	ENSMUST00000213294.Olfr801.36311	many2many
ENSMUSG00000058513	ENSMUST00000072063.Olfr801	reg_4712	ENSMUST00000072063.Olfr801.30895	many2many
ENSMUSG00000058513	ENSMUST00000216067.Olfr801	reg_12592	ENSMUST00000216067.Olfr801.36311	many2many
ENSMUSG00000058513	ENSMUST00000216067.Olfr801	reg_4712	ENSMUST00000216067.Olfr801.30895	many2many
ENSMUSG00000058513	ENSMUST00000216067.Olfr801	reg_5312	ENSMUST00000216067.Olfr801.44311	many2many
ENSMUSG00000070438	ENSMUST00000217506.Olfr313	reg_2214	ENSMUST00000217506.Olfr313.21271	many2many
